a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18,t19,u20,v21,w22,x23,y24,
21,0,1,global,kill_while_sliding_from_doublejump,CHALLENGE_BOOT_CAMP_KILL_WHILE_SLIDING_FROM_DOUBLEJUMP,500,,,,mastery_boot_camp,0,EM_BACK_BOOTCAMP_combinatorial,,,,bootcamp,,,,,,,,,
22,0,10,global,kill_with_pickup,CHALLENGE_BOOT_CAMP_KILL_WITH_PICKUP,1000,,,,mastery_boot_camp,0,EM_BACK_BOOTCAMP_guerillawarfare,,,,bootcamp,,,,,,,,,
23,0,1,global,kill_while_wallrunning_2_walls,CHALLENGE_BOOT_CAMP_KILL_WHILE_WALLRUNNING_2_WALLS,1000,,,,mastery_boot_camp,0,EM_BACK_BOOTCAMP_fit,,,,bootcamp,,,,,,,,,
24,0,10,global,destroy_equipment_with_bullet,CHALLENGE_BOOT_CAMP_DESTROY_EQUIPMENT_WITH_BULLET,500,,,,mastery_boot_camp,0,EM_BACK_BOOTCAMP_gunfighter,,,,bootcamp,,,,,,,,,
25,0,12,global,mastery_boot_camp,CHALLENGE_BOOT_CAMP_MASTERY,5000,,,,completed_all_challenges,0,EM_BACK_BOOTCAMP_master,,,,bootcamp,,1,,1,,,,,
26,0,50,global,wins,CHALLENGE_GAME_MODE_CAREER_WINS,500,,,,,0,,,,,gamevictories,,,,,,,,,
27,1,100,global,wins,CHALLENGE_GAME_MODE_CAREER_WINS,1000,,,,,0,,,,,gamevictories,,,,,,,,,
28,2,150,global,wins,CHALLENGE_GAME_MODE_CAREER_WINS,2000,,,,,0,,,,,gamevictories,,,,,,,,,
29,3,250,global,wins,CHALLENGE_GAME_MODE_CAREER_WINS,3000,,,,,0,,,,,gamevictories,,,,,,,,,
30,4,500,global,wins,CHALLENGE_GAME_MODE_CAREER_WINS,5000,,,,mastery_game_mode_victories,0,EM_BACK_GAMEMODE_career,,,,gamevictories,,,,,,,,,
31,0,5,gamemode,wins,CHALLENGE_GAME_MODE_GAMETYPE_WINS,500,,,,,0,,tdm sd dom ctf dem koth conf ball escort gun,,,gamevictories,,,,,,,,,
32,1,25,gamemode,wins,CHALLENGE_GAME_MODE_GAMETYPE_WINS,2500,,,,,0,,tdm sd dom ctf dem koth conf ball escort gun,,,gamevictories,,,,,,,,,
33,2,50,gamemode,wins,CHALLENGE_GAME_MODE_GAMETYPE_WINS,5000,,,,mastery_game_mode_victories,0,EM_BACK_GAMEMODE_,tdm sd dom ctf dem koth conf ball escort gun,,,gamevictories,,,,,1,,,,
34,0,5,gamemode,topplayer,CHALLENGE_GAME_MODE_GAMETYPE_WINS_FFA,500,,,,,0,,dm,,,gamevictories,,,,,,,,,
35,1,25,gamemode,topplayer,CHALLENGE_GAME_MODE_GAMETYPE_WINS_FFA,2500,,,,,0,,dm,,,gamevictories,,,,,,,,,
36,2,50,gamemode,topplayer,CHALLENGE_GAME_MODE_GAMETYPE_WINS_FFA,5000,,,,mastery_game_mode_victories,0,EM_BACK_GAMEMODE_,dm,,,gamevictories,,,,,1,,,,
37,0,12,global,mastery_game_mode_victories,CHALLENGE_GAME_MODE_MASTERY,10000,,,,completed_all_challenges,0,EM_BACK_GAMEMODE_master,,,,gamevictories,,1,,1,,,,,
38,0,25,global,topplayer,CHALLENGE_GAME_MODE_TOPPLAYER,500,,,,,0,,,,,gameheroics,,,,,,,,,
39,1,50,global,topplayer,CHALLENGE_GAME_MODE_TOPPLAYER,2500,,,,,0,,,,,gameheroics,,,,,,,,,
40,2,100,global,topplayer,CHALLENGE_GAME_MODE_TOPPLAYER,5000,,,,mastery_game_mode_heroics,0,EM_BACK_GAMEMODEHEROICS_topplayer,,,,gameheroics,,,,,,,,,
41,0,25,global,top3,CHALLENGE_GAME_MODE_TOP3,500,,,,,0,,,,,gameheroics,,,,,,,,,
42,1,50,global,top3,CHALLENGE_GAME_MODE_TOP3,2500,,,,,0,,,,,gameheroics,,,,,,,,,
43,2,100,global,top3,CHALLENGE_GAME_MODE_TOP3,5000,,,,mastery_game_mode_heroics,0,EM_BACK_GAMEMODEHEROICS_top3,,,,gameheroics,,,,,,,,,
44,0,250000,global,lifetime_score,CHALLENGE_GAME_MODE_SCORE,500,,,,,0,,,,,gameheroics,,,,,,,,,
45,1,500000,global,lifetime_score,CHALLENGE_GAME_MODE_SCORE,1000,,,,,0,,,,,gameheroics,,,,,,,,,
46,2,750000,global,lifetime_score,CHALLENGE_GAME_MODE_SCORE,2000,,,,,0,,,,,gameheroics,,,,,,,,,
47,3,1000000,global,lifetime_score,CHALLENGE_GAME_MODE_SCORE,3000,,,,,0,,,,,gameheroics,,,,,,,,,
48,4,1500000,global,lifetime_score,CHALLENGE_GAME_MODE_SCORE,5000,,,,mastery_game_mode_heroics,0,EM_BACK_GAMEMODEHEROICS_score,,,,gameheroics,,,,,,,,,
49,0,10,global,defends,CHALLENGE_GAME_MODE_DEFENDS,500,,,,,0,,,,,gameheroics,,,,,,,,,
50,1,25,global,defends,CHALLENGE_GAME_MODE_DEFENDS,2500,,,,,0,,,,,gameheroics,,,,,,,,,
51,2,50,global,defends,CHALLENGE_GAME_MODE_DEFENDS,5000,,,,mastery_game_mode_heroics,0,EM_BACK_GAMEMODEHEROICS_defends,,,,gameheroics,,,,,,,,,
52,0,10,global,offends,CHALLENGE_GAME_MODE_ASSAULTS,500,,,,,0,,,,,gameheroics,,,,,,,,,
53,1,25,global,offends,CHALLENGE_GAME_MODE_ASSAULTS,2500,,,,,0,,,,,gameheroics,,,,,,,,,
54,2,50,global,offends,CHALLENGE_GAME_MODE_ASSAULTS,5000,,,,mastery_game_mode_heroics,0,EM_BACK_GAMEMODEHEROICS_assaults,,,,gameheroics,,,,,,,,,
55,0,10,global,captures,CHALLENGE_GAME_MODE_CAPTURES,500,,,,,0,,,,,gameheroics,,,,,,,,,
56,1,25,global,captures,CHALLENGE_GAME_MODE_CAPTURES,2500,,,,,0,,,,,gameheroics,,,,,,,,,
57,2,50,global,captures,CHALLENGE_GAME_MODE_CAPTURES,5000,,,,mastery_game_mode_heroics,0,EM_BACK_GAMEMODEHEROICS_captures,,,,gameheroics,,,,,,,,,
58,0,10,global,kill_carrier,CHALLENGE_GAME_MODE_KILL_FLAG_CARRIER,500,,,,,0,,,,,gameheroics,,,,,,,,,
59,1,25,global,kill_carrier,CHALLENGE_GAME_MODE_KILL_FLAG_CARRIER,2500,,,,,0,,,,,gameheroics,,,,,,,,,
60,2,50,global,kill_carrier,CHALLENGE_GAME_MODE_KILL_FLAG_CARRIER,5000,,,,mastery_game_mode_heroics,0,EM_BACK_GAMEMODEHEROICS_kill_flag_carrier,,,,gameheroics,,,,,,,,,
61,0,10,global,defuses,CHALLENGE_GAME_MODE_DEFUSES,500,,,,,0,,,,,gameheroics,,,,,,,,,
62,1,25,global,defuses,CHALLENGE_GAME_MODE_DEFUSES,2500,,,,,0,,,,,gameheroics,,,,,,,,,
63,2,50,global,defuses,CHALLENGE_GAME_MODE_DEFUSES,5000,,,,mastery_game_mode_heroics,0,EM_BACK_GAMEMODEHEROICS_defuses,,,,gameheroics,,,,,,,,,
64,0,25,global,get_final_kill,CHALLENGE_GAME_MODE_GET_FINAL_KILLCAM,1000,,,,mastery_game_mode_heroics,0,EM_BACK_GAMEMODEHEROICS_final_killcam,,,,gameheroics,,,,,,,,,
65,0,1,global,most_kills_least_deaths,CHALLENGE_GAME_MODE_MOST_KILLS_LEAST_DEATHS,1000,,,,mastery_game_mode_heroics,0,EM_BACK_GAMEMODEHEROICS_least_deaths,,,,gameheroics,,,,,,,,,
66,0,5,global,defused_bomb_last_man_alive,CHALLENGE_GAME_MODE_DEFUSED_BOMB_LAST_MAN_ALIVE,1000,,,,mastery_game_mode_heroics,0,EM_BACK_GAMEMODEHEROICS_last_man_alive,,,,gameheroics,,,,,,,,,
67,0,25,global,defend_carrier,CHALLENGE_GAME_MODE_DEFEND_CARRIER_CTF_OR_BALL,1000,,,,mastery_game_mode_heroics,0,EM_BACK_GAMEMODEHEROICS_defend_carrier_ctf_or_ball,,,,gameheroics,,,,,,,,,
68,0,12,global,mastery_game_mode_heroics,CHALLENGE_GAME_MODE_HEROICS_MASTERY,10000,,,,completed_all_challenges,0,EM_BACK_GAMEMODEHEROICS_master,,,,gameheroics,,1,,1,,,,,
69,0,500,global,kills,CHALLENGE_CAREER_KILLS,1000,,,,,0,,,,,career,,,,,,,,,
70,1,1000,global,kills,CHALLENGE_CAREER_KILLS,1500,,,,,0,,,,,career,,,,,,,,,
71,2,2500,global,kills,CHALLENGE_CAREER_KILLS,2000,,,,,0,,,,,career,,,,,,,,,
72,3,5000,global,kills,CHALLENGE_CAREER_KILLS,2500,,,,,0,,,,,career,,,,,,,,,
73,4,10000,global,kills,CHALLENGE_CAREER_KILLS,5000,,,,mastery_career,0,EM_BACK_CAREER_kills,,,,career,,,,,,,,,
74,0,100,global,headshots,CHALLENGE_CAREER_HEADSHOTS,1000,,,,,0,,,,,career,,,,,,,,,
75,1,250,global,headshots,CHALLENGE_CAREER_HEADSHOTS,1500,,,,,0,,,,,career,,,,,,,,,
76,2,500,global,headshots,CHALLENGE_CAREER_HEADSHOTS,2000,,,,,0,,,,,career,,,,,,,,,
77,3,750,global,headshots,CHALLENGE_CAREER_HEADSHOTS,2500,,,,,0,,,,,career,,,,,,,,,
78,4,1000,global,headshots,CHALLENGE_CAREER_HEADSHOTS,5000,,,,mastery_career,0,EM_BACK_CAREER_headshots,,,,career,,,,,,,,,
79,0,100,group,kills,CHALLENGE_CAREER_CATEGORY_WEAPON_KILLS,500,,,,,0,,weapon_assault weapon_smg weapon_lmg weapon_cqb weapon_sniper weapon_pistol killstreak,,,career,,,,,,,,,
80,1,250,group,kills,CHALLENGE_CAREER_CATEGORY_WEAPON_KILLS,1000,,,,,0,,weapon_assault weapon_smg weapon_lmg weapon_cqb weapon_sniper weapon_pistol killstreak,,,career,,,,,,,,,
81,2,500,group,kills,CHALLENGE_CAREER_CATEGORY_WEAPON_KILLS,2000,,,,,0,,weapon_assault weapon_smg weapon_lmg weapon_cqb weapon_sniper weapon_pistol killstreak,,,career,,,,,,,,,
82,3,750,group,kills,CHALLENGE_CAREER_CATEGORY_WEAPON_KILLS,3000,,,,,0,,weapon_assault weapon_smg weapon_lmg weapon_cqb weapon_sniper weapon_pistol killstreak,,,career,,,,,,,,,
83,4,1000,group,kills,CHALLENGE_CAREER_CATEGORY_WEAPON_KILLS,5000,,,,mastery_career,0,EM_BACK_CAREER_,weapon_assault weapon_smg weapon_lmg weapon_cqb weapon_sniper weapon_pistol killstreak,,,career,,,,,1,,,,
84,0,50,global,melee,CHALLENGE_CAREER_MELEE,500,,,,,0,,,,,career,,,,,,,,,
85,1,100,global,melee,CHALLENGE_CAREER_MELEE,1000,,,,,0,,,,,career,,,,,,,,,
86,2,150,global,melee,CHALLENGE_CAREER_MELEE,2000,,,,,0,,,,,career,,,,,,,,,
87,3,250,global,melee,CHALLENGE_CAREER_MELEE,3000,,,,,0,,,,,career,,,,,,,,,
88,4,500,global,melee,CHALLENGE_CAREER_MELEE,5000,,,,mastery_career,0,EM_BACK_CAREER_melee,,,,career,,,,,,,,,
89,0,1500,global,assist_score_killstreak,CHALLENGE_CAREER_ASSIST_SCORE_KILLSTREAK,500,,,,,0,,,,,career,,,,,,,,,
90,1,2500,global,assist_score_killstreak,CHALLENGE_CAREER_ASSIST_SCORE_KILLSTREAK,1000,,,,,0,,,,,career,,,,,,,,,
91,2,5000,global,assist_score_killstreak,CHALLENGE_CAREER_ASSIST_SCORE_KILLSTREAK,2000,,,,,0,,,,,career,,,,,,,,,
92,3,7500,global,assist_score_killstreak,CHALLENGE_CAREER_ASSIST_SCORE_KILLSTREAK,3000,,,,,0,,,,,career,,,,,,,,,
93,4,10000,global,assist_score_killstreak,CHALLENGE_CAREER_ASSIST_SCORE_KILLSTREAK,5000,,,,mastery_career,0,EM_BACK_CAREER_assist_score_killstreak,,,,career,,,,,,,,,
94,0,10,group,used,CHALLENGE_CAREER_CALL_IN_KILLSTREAK,500,,,,,0,,killstreak,,,career,,,,,,,,,
95,1,25,group,used,CHALLENGE_CAREER_CALL_IN_KILLSTREAK,1000,,,,,0,,killstreak,,,career,,,,,,,,,
96,2,75,group,used,CHALLENGE_CAREER_CALL_IN_KILLSTREAK,2000,,,,,0,,killstreak,,,career,,,,,,,,,
97,3,150,group,used,CHALLENGE_CAREER_CALL_IN_KILLSTREAK,3000,,,,,0,,killstreak,,,career,,,,,,,,,
98,4,300,group,used,CHALLENGE_CAREER_CALL_IN_KILLSTREAK,5000,,,,mastery_career,0,EM_BACK_CAREER_call_in_,killstreak,,,career,,,,,1,,,,
99,0,12,global,mastery_career,CHALLENGE_CAREER_MASTERY,10000,,,,completed_all_challenges,0,EM_BACK_CAREER_master,,,,career,,1,,1,,,,,
100,0,10,global,medal_killstreak_5,CHALLENGE_KILLER_KILLSTREAK_5,1000,,,,,0,,,,,killer,,,,,,,,,
101,1,25,global,medal_killstreak_5,CHALLENGE_KILLER_KILLSTREAK_5,1500,,,,,0,,,,,killer,,,,,,,,,
102,2,50,global,medal_killstreak_5,CHALLENGE_KILLER_KILLSTREAK_5,2500,,,,mastery_killer,0,EM_BACK_KILLER_killstreak_5,,,,killer,,,,,,,,,
103,0,10,global,medal_killstreak_10,CHALLENGE_KILLER_KILLSTREAK_10,1000,,,,,0,,,,,killer,,,,,,,,,
104,1,25,global,medal_killstreak_10,CHALLENGE_KILLER_KILLSTREAK_10,1500,,,,,0,,,,,killer,,,,,,,,,
105,2,50,global,medal_killstreak_10,CHALLENGE_KILLER_KILLSTREAK_10,2500,,,,mastery_killer,0,EM_BACK_KILLER_killstreak_10,,,,killer,,,,,,,,,
106,0,1,global,medal_killstreak_15,CHALLENGE_KILLER_KILLSTREAK_15,2500,,,,mastery_killer,0,EM_BACK_KILLER_killstreak_15,,,,killer,,,,,,,,,
107,0,10,global,medal_multikill_2,CHALLENGE_KILLER_MEDAL_MULTIKILL_2,500,,,,,0,,,,,killer,,,,,,,,,
108,1,25,global,medal_multikill_2,CHALLENGE_KILLER_MEDAL_MULTIKILL_2,750,,,,,0,,,,,killer,,,,,,,,,
109,2,50,global,medal_multikill_2,CHALLENGE_KILLER_MEDAL_MULTIKILL_2,1000,,,,mastery_killer,0,EM_BACK_KILLER_multikill_2,,,,killer,,,,,,,,,
110,0,10,global,medal_multikill_3,CHALLENGE_KILLER_MEDAL_MULTIKILL_3,1000,,,,,0,,,,,killer,,,,,,,,,
111,1,25,global,medal_multikill_3,CHALLENGE_KILLER_MEDAL_MULTIKILL_3,1500,,,,,0,,,,,killer,,,,,,,,,
112,2,50,global,medal_multikill_3,CHALLENGE_KILLER_MEDAL_MULTIKILL_3,2500,,,,mastery_killer,0,EM_BACK_KILLER_multikill_3,,,,killer,,,,,,,,,
113,0,5,global,medal_multikill_4,CHALLENGE_KILLER_MEDAL_MULTIKILL_4,5000,,,,mastery_killer,0,EM_BACK_KILLER_multikill_4,,,,killer,,,,,,,,,
114,0,2,global,medal_uninterrupted_obit_feed_kills,CHALLENGE_KILLER_FOUR_PIECE,1000,,,,,0,,,,,killer,,,,,,,,,
115,1,5,global,medal_uninterrupted_obit_feed_kills,CHALLENGE_KILLER_FOUR_PIECE,1500,,,,,0,,,,,killer,,,,,,,,,
116,2,10,global,medal_uninterrupted_obit_feed_kills,CHALLENGE_KILLER_FOUR_PIECE,2500,,,,mastery_killer,0,EM_BACK_KILLER_four_piece,,,,killer,,,,,,,,,
117,0,3,global,medal_kill_enemies_one_bullet,CHALLENGE_KILLER_KILL_ENEMIES_ONE_BULLET,2500,,,,mastery_killer,0,EM_BACK_KILLER_kill_enemies_one_bullet,,,,killer,,,,,,,,,
118,0,20,global,double_kill_defenders,CHALLENGE_KILLER_DOUBLE_KILL_DEFENDERS,2500,,,,mastery_killer,0,EM_BACK_KILLER_double_kill_defenders,,,,killer,,,,,,,,,
119,0,20,global,double_kill_attackers,CHALLENGE_KILLER_DOUBLE_KILL_ATTACKERS,2500,,,,mastery_killer,0,EM_BACK_KILLER_double_kill_attackers,,,,killer,,,,,,,,,
120,0,1,global,multikill_5_attackers,CHALLENGE_KILLER_MULTIKILL_5_ATTACKERS,2500,,,,mastery_killer,0,EM_BACK_KILLER_multikill_5_attackers,,,,killer,,,,,,,,,
121,0,1,global,triple_kill_defenders_and_capture,CHALLENGE_KILLER_TRIPLE_KILL_DEFENDERS_AND_CAPTURE,2500,,,,mastery_killer,0,EM_BACK_KILLER_triple_kill_defenders_and_capture,,,,killer,,,,,,,,,
122,0,12,global,mastery_killer,CHALLENGE_KILLER_MASTERY,10000,,,,completed_all_challenges,0,EM_BACK_KILLER_mastery,,,,killer,,1,,1,,,,,
123,0,25,global,medal_kill_enemy_who_has_high_score,CHALLENGE_HUMILIATION_KINGSLAYER,500,,,,,0,,,,,humiliation,,,,,,,,,
124,1,75,global,medal_kill_enemy_who_has_high_score,CHALLENGE_HUMILIATION_KINGSLAYER,1000,,,,,0,,,,,humiliation,,,,,,,,,
125,2,150,global,medal_kill_enemy_who_has_high_score,CHALLENGE_HUMILIATION_KINGSLAYER,2500,,,,mastery_humiliation,0,EM_BACK_HUMILIATION_kingslayer,,,,humiliation,,,,,,,,,
126,0,5,global,medal_stop_enemy_killstreak,CHALLENGE_HUMILIATION_STOP_ENEMY_KILLSTREAK,500,,,,,0,,,,,humiliation,,,,,,,,,
127,1,10,global,medal_stop_enemy_killstreak,CHALLENGE_HUMILIATION_STOP_ENEMY_KILLSTREAK,1000,,,,,0,,,,,humiliation,,,,,,,,,
128,2,25,global,medal_stop_enemy_killstreak,CHALLENGE_HUMILIATION_STOP_ENEMY_KILLSTREAK,2500,,,,mastery_humiliation,0,EM_BACK_HUMILIATION_stop_enemy_killstreak,,,,humiliation,,,,,,,,,
129,0,5,global,medal_kill_enemy_after_death,CHALLENGE_HUMILIATION_AFTERLIFE,500,,,,,0,,,,,humiliation,,,,,,,,,
130,1,10,global,medal_kill_enemy_after_death,CHALLENGE_HUMILIATION_AFTERLIFE,1000,,,,,0,,,,,humiliation,,,,,,,,,
131,2,25,global,medal_kill_enemy_after_death,CHALLENGE_HUMILIATION_AFTERLIFE,2500,,,,mastery_humiliation,0,EM_BACK_HUMILIATION_afterlife,,,,humiliation,,,,,,,,,
132,0,5,global,medal_kill_enemy_with_gunbutt,CHALLENGE_HUMILIATION_NOSEBREAKER,500,,,,,0,,,,,humiliation,,,,,,,,,
133,1,10,global,medal_kill_enemy_with_gunbutt,CHALLENGE_HUMILIATION_NOSEBREAKER,1000,,,,,0,,,,,humiliation,,,,,,,,,
134,2,25,global,medal_kill_enemy_with_gunbutt,CHALLENGE_HUMILIATION_NOSEBREAKER,2500,,,,mastery_humiliation,0,EM_BACK_HUMILIATION_nosebreaker,,,,humiliation,,,,,,,,,
135,0,5,global,medal_revenge_kill,CHALLENGE_HUMILIATION_REVENGE,500,,,,,0,,,,,humiliation,,,,,,,,,
136,1,10,global,medal_revenge_kill,CHALLENGE_HUMILIATION_REVENGE,1000,,,,,0,,,,,humiliation,,,,,,,,,
137,2,25,global,medal_revenge_kill,CHALLENGE_HUMILIATION_REVENGE,2500,,,,mastery_humiliation,0,EM_BACK_HUMILIATION_revenge,,,,humiliation,,,,,,,,,
138,0,5,global,medal_stick_explosive_kill,CHALLENGE_HUMILIATION_STUCK,500,,,,,0,,,,,humiliation,,,,,,,,,
139,1,10,global,medal_stick_explosive_kill,CHALLENGE_HUMILIATION_STUCK,1000,,,,,0,,,,,humiliation,,,,,,,,,
140,2,25,global,medal_stick_explosive_kill,CHALLENGE_HUMILIATION_STUCK,2500,,,,mastery_humiliation,0,EM_BACK_HUMILIATION_stuck,,,,humiliation,,,,,,,,,
141,0,5,global,medal_kill_enemy_with_their_weapon,CHALLENGE_HUMILIATION_BACKFIRE,500,,,,,0,,,,,humiliation,,,,,,,,,
142,1,10,global,medal_kill_enemy_with_their_weapon,CHALLENGE_HUMILIATION_BACKFIRE,1000,,,,,0,,,,,humiliation,,,,,,,,,
143,2,25,global,medal_kill_enemy_with_their_weapon,CHALLENGE_HUMILIATION_BACKFIRE,2500,,,,mastery_humiliation,0,EM_BACK_HUMILIATION_backfire,,,,humiliation,,,,,,,,,
144,0,5,global,medal_frag_multikill,CHALLENGE_HUMILIATION_FRAG_MULTIKILL,500,,,,,0,,,,,humiliation,,,,,,,,,
145,1,10,global,medal_frag_multikill,CHALLENGE_HUMILIATION_FRAG_MULTIKILL,1000,,,,,0,,,,,humiliation,,,,,,,,,
146,2,25,global,medal_frag_multikill,CHALLENGE_HUMILIATION_FRAG_MULTIKILL,2500,,,,mastery_humiliation,0,EM_BACK_HUMILIATION_frag_multikill,,,,humiliation,,,,,,,,,
147,0,10,global,kill_enemy_with_fists,CHALLENGE_HUMILIATION_KILL_WITH_FISTS,500,,,,,0,,,,,humiliation,,,,,,,,,
148,1,25,global,kill_enemy_with_fists,CHALLENGE_HUMILIATION_KILL_WITH_FISTS,1000,,,,,0,,,,,humiliation,,,,,,,,,
149,2,50,global,kill_enemy_with_fists,CHALLENGE_HUMILIATION_KILL_WITH_FISTS,2500,,,,mastery_humiliation,0,EM_BACK_HUMILIATION_kill_with_fists,,,,humiliation,,,,,,,,,
150,0,5,global,kill_enemy_that_blinded_you,CHALLENGE_HUMILIATION_KILL_ENEMY_THAT_BLINDED_YOU,1000,,,,mastery_humiliation,0,EM_BACK_HUMILIATION_kill_enemy_that_blinded_you,,,,humiliation,,,,,,,,,
151,0,5,global,kill_nemesis,CHALLENGE_HUMILIATION_KILL_NEMESIS,1000,,,,mastery_humiliation,0,EM_BACK_HUMILIATION_kill_nemesis,,,,humiliation,,,,,,,,,
152,0,5,global,medal_kill_underwater_enemy_explosive,CHALLENGE_HUMILIATION_KILL_UNDERWATER_ENEMY_WITH_EXPLOSIVE,1000,,,,mastery_humiliation,0,EM_BACK_HUMILIATION_kill_underwater_with_explosive,,,,humiliation,,,,,,,,,
153,0,12,global,mastery_humiliation,CHALLENGE_HUMILIATION_MASTERY,10000,,,,completed_all_challenges,0,EM_BACK_HUMILIATION_master,,,,humiliation,,1,,1,,,,,
154,0,10,global,medal_killstreak_20,CHALLENGE_DARK_OPS_KILLSTREAK_20,5000,,,,,0,EM_BACK_DARK_OPS_killstreak_20,,,,darkops,,,,,,,,,
155,0,1,global,medal_killstreak_25,CHALLENGE_DARK_OPS_KILLSTREAK_25,5000,,,,,0,EM_BACK_DARK_OPS_killstreak_25,,,,darkops,,,,,,,,,
156,0,1,global,medal_killstreak_30,CHALLENGE_DARK_OPS_KILLSTREAK_30,5000,,,,,0,EM_BACK_DARK_OPS_killstreak_30,,,,darkops,,,,,,,,,
157,0,1,global,medal_multikill_5,CHALLENGE_DARK_OPS_MULTIKILL_5,5000,,,,,0,EM_BACK_DARK_OPS_multikill_5,,,,darkops,,,,,,,,,
158,0,1,global,medal_multikill_6,CHALLENGE_DARK_OPS_MULTIKILL_6,5000,,,,,0,EM_BACK_DARK_OPS_multikill_6,,,,darkops,,,,,,,,,
159,0,1,global,medal_multikill_7,CHALLENGE_DARK_OPS_MULTIKILL_7,10000,,,,,0,EM_BACK_DARK_OPS_multikill_7,,,,darkops,,,,,,,,,
160,0,1,global,medal_multikill_8,CHALLENGE_DARK_OPS_MULTIKILL_8,10000,,,,,0,EM_BACK_DARK_OPS_multikill_8,,,,darkops,,,,,,,,,
161,0,1,global,medal_multikill_more_than_8,CHALLENGE_DARK_OPS_MULTIKILL_MORE_THAN_8,10000,,,,,0,EM_BACK_DARK_OPS_multikill_more_than_8,,,,darkops,,,,,,,,,
