a0,b1,c2,d3,e4,f5
3,0,ar_m14,stalker,400,1
4,0,ar_m14,dualoptic,500,1
5,0,ar_m14,steadyaim,600,1
6,0,ar_m14,reddot,700,2
7,0,ar_m14,rf,800,2
8,0,ar_m14,holo,900,3
9,0,ar_m14,grip,1000,3
10,0,ar_m14,acog,1100,4
11,0,ar_m14,extbarrel,1200,4
12,0,ar_m14,fastreload,1300,5
0,0,ar_galil,reflex,100,
1,0,ar_galil,quickdraw,200,0
2,0,ar_galil,ir,300,1
3,0,ar_galil,stalker,400,1
4,0,ar_galil,dualoptic,500,1
5,0,ar_galil,steadyaim,600,1
6,0,ar_galil,reddot,700,2
7,0,ar_galil,rf,800,2
8,0,ar_galil,holo,900,3
9,0,ar_galil,grip,1000,3
10,0,ar_galil,acog,1100,4
11,0,ar_galil,extbarrel,1200,4
12,0,ar_galil,fastreload,1300,5
0,0,ar_m16,reflex,100,
1,0,ar_m16,quickdraw,200,0
2,0,ar_m16,ir,300,1
3,0,ar_m16,stalker,400,1
4,0,ar_m16,dualoptic,500,1
5,0,ar_m16,steadyaim,600,1
6,0,ar_m16,reddot,700,2
7,0,ar_m16,rf,800,2
8,0,ar_m16,holo,900,3
9,0,ar_m16,grip,1000,3
10,0,ar_m16,acog,1100,4
11,0,ar_m16,extbarrel,1200,4
12,0,ar_m16,fastreload,1300,5
0,0,ar_famas,reflex,100,
1,0,ar_famas,quickdraw,200,0
2,0,ar_famas,ir,300,1
3,0,ar_famas,stalker,400,1
4,0,ar_famas,dualoptic,500,1
5,0,ar_famas,steadyaim,600,1
6,0,ar_famas,reddot,700,2
7,0,ar_famas,rf,800,2
8,0,ar_famas,holo,900,3
9,0,ar_famas,grip,1000,3
10,0,ar_famas,acog,1100,4
11,0,ar_famas,extbarrel,1200,4
12,0,ar_famas,fastreload,1300,5
0,0,ar_garand,reflex,100,
1,0,ar_garand,quickdraw,200,0
2,0,ar_garand,ir,300,1
3,0,ar_garand,stalker,400,1
4,0,ar_garand,dualoptic,500,1
5,0,ar_garand,steadyaim,600,1
6,0,ar_garand,reddot,700,2
7,0,ar_garand,rf,800,2
8,0,ar_garand,holo,900,3
9,0,ar_garand,grip,1000,3
10,0,ar_garand,acog,1100,4
11,0,ar_garand,extbarrel,1200,4
12,0,ar_garand,fastreload,1300,5
0,0,ar_longburst,reflex,100,
1,0,ar_longburst,quickdraw,200,0
2,0,ar_longburst,ir,300,1
3,0,ar_longburst,stalker,400,1
4,0,ar_longburst,dualoptic,500,1
5,0,ar_longburst,steadyaim,600,1
6,0,ar_longburst,reddot,700,2
7,0,ar_longburst,rf,800,2
8,0,ar_longburst,holo,900,3
9,0,ar_longburst,grip,1000,3
10,0,ar_longburst,acog,1100,4
11,0,ar_longburst,extbarrel,1200,4
12,0,ar_longburst,fastreload,1300,5
0,0,ar_peacekeeper,reflex,100,
1,0,ar_peacekeeper,quickdraw,200,0
2,0,ar_peacekeeper,ir,300,1
3,0,ar_peacekeeper,stalker,400,1
4,0,ar_peacekeeper,damage,500,1
5,0,ar_peacekeeper,steadyaim,600,1
6,0,ar_peacekeeper,reddot,700,2
7,0,ar_peacekeeper,rf,800,2
8,0,ar_peacekeeper,holo,900,3
9,0,ar_peacekeeper,grip,1000,3
10,0,ar_peacekeeper,acog,1100,4
11,0,ar_peacekeeper,extbarrel,1200,4
12,0,ar_peacekeeper,fastreload,1300,5
0,0,ar_longburst,reflex,100,
1,0,ar_longburst,quickdraw,200,0
2,0,ar_longburst,ir,300,1
3,0,ar_longburst,stalker,400,1
4,0,ar_longburst,dualoptic,500,1
5,0,ar_longburst,steadyaim,600,1
6,0,ar_longburst,reddot,700,2
7,0,ar_longburst,rf,800,2
8,0,ar_longburst,holo,900,3
9,0,ar_longburst,grip,1000,3
10,0,ar_longburst,acog,1100,4
11,0,ar_longburst,extbarrel,1200,4
12,0,ar_longburst,fastreload,1300,5
0,0,ar_marksman,reflex,100,
1,0,ar_marksman,quickdraw,200,0
2,0,ar_marksman,ir,300,1
3,0,ar_marksman,stalker,400,1
4,0,ar_marksman,dualoptic,500,1
5,0,ar_marksman,steadyaim,600,1
6,0,ar_marksman,reddot,700,2
7,0,ar_marksman,rf,800,2
8,0,ar_marksman,holo,900,3
9,0,ar_marksman,grip,1000,3
10,0,ar_marksman,acog,1100,4
11,0,ar_marksman,extbarrel,1200,4
12,0,ar_marksman,fastreload,1300,5
0,0,ar_standard,reflex,100,
1,0,ar_standard,quickdraw,200,0
2,0,ar_standard,ir,300,1
3,0,ar_standard,stalker,400,1
4,0,ar_standard,dualoptic,500,1
5,0,ar_standard,steadyaim,600,1
6,0,ar_standard,reddot,700,2
7,0,ar_standard,rf,800,2
8,0,ar_standard,holo,900,3
9,0,ar_standard,grip,1000,3
10,0,ar_standard,acog,1100,4
11,0,ar_standard,extbarrel,1200,4
12,0,ar_standard,fastreload,1300,5
0,0,lmg_cqb,reflex,100,
1,0,lmg_cqb,quickdraw,200,0
2,0,lmg_cqb,ir,300,1
3,0,lmg_cqb,stalker,400,1
4,0,lmg_cqb,dualoptic,500,1
5,0,lmg_cqb,steadyaim,600,1
6,0,lmg_cqb,reddot,700,2
7,0,lmg_cqb,rf,800,2
8,0,lmg_cqb,holo,900,3
9,0,lmg_cqb,grip,1000,3
10,0,lmg_cqb,acog,1100,4
11,0,lmg_cqb,fastreload,1200,5
0,0,lmg_heavy,reflex,100,
1,0,lmg_heavy,quickdraw,200,0
2,0,lmg_heavy,ir,300,1
3,0,lmg_heavy,stalker,400,1
4,0,lmg_heavy,dualoptic,500,1
5,0,lmg_heavy,steadyaim,600,1
6,0,lmg_heavy,reddot,700,2
7,0,lmg_heavy,rf,800,2
8,0,lmg_heavy,holo,900,3
9,0,lmg_heavy,grip,1000,3
10,0,lmg_heavy,acog,1100,4
11,0,lmg_heavy,fastreload,1200,5
0,0,lmg_light,reflex,100,
1,0,lmg_light,quickdraw,200,0
2,0,lmg_light,ir,300,1
3,0,lmg_light,stalker,400,1
4,0,lmg_light,dualoptic,500,1
5,0,lmg_light,steadyaim,600,1
6,0,lmg_light,reddot,700,2
7,0,lmg_light,rf,800,2
8,0,lmg_light,holo,900,3
9,0,lmg_light,grip,1000,3
10,0,lmg_light,acog,1100,4
11,0,lmg_light,fastreload,1200,5
0,0,lmg_slowfire,reflex,100,
1,0,lmg_slowfire,quickdraw,200,0
2,0,lmg_slowfire,ir,300,1
3,0,lmg_slowfire,stalker,400,1
4,0,lmg_slowfire,dualoptic,500,1
5,0,lmg_slowfire,steadyaim,600,1
6,0,lmg_slowfire,reddot,700,2
7,0,lmg_slowfire,rf,800,2
8,0,lmg_slowfire,holo,900,3
9,0,lmg_slowfire,grip,1000,3
10,0,lmg_slowfire,acog,1100,4
11,0,lmg_slowfire,fastreload,1200,5
0,0,lmg_rpk,reflex,100,
1,0,lmg_rpk,quickdraw,200,0
2,0,lmg_rpk,ir,300,1
3,0,lmg_rpk,stalker,400,1
4,0,lmg_rpk,dualoptic,500,1
5,0,lmg_rpk,steadyaim,600,1
6,0,lmg_rpk,reddot,700,2
7,0,lmg_rpk,rf,800,2
8,0,lmg_rpk,holo,900,3
9,0,lmg_rpk,grip,1000,3
10,0,lmg_rpk,acog,1100,4
11,0,lmg_rpk,fastreload,1200,5
0,0,sniper_chargeshot,reddot,100,
1,0,sniper_chargeshot,swayreduc,200,0
2,0,sniper_chargeshot,ir,300,1
3,0,sniper_chargeshot,stalker,400,1
4,0,sniper_chargeshot,dualoptic,500,2
5,0,sniper_chargeshot,rf,600,2
6,0,sniper_chargeshot,fastreload,700,3
7,0,sniper_chargeshot,acog,800,4
0,0,sniper_fastbolt,reddot,100,
1,0,sniper_fastbolt,swayreduc,200,0
2,0,sniper_fastbolt,ir,300,1
3,0,sniper_fastbolt,stalker,400,1
4,0,sniper_fastbolt,dualoptic,500,2
5,0,sniper_fastbolt,rf,600,2
6,0,sniper_fastbolt,fastreload,700,3
7,0,sniper_fastbolt,acog,800,4
0,0,sniper_fastsemi,reddot,100,
1,0,sniper_fastsemi,swayreduc,200,0
2,0,sniper_fastsemi,ir,300,1
3,0,sniper_fastsemi,stalker,400,1
4,0,sniper_fastsemi,dualoptic,500,2
5,0,sniper_fastsemi,rf,600,2
6,0,sniper_fastsemi,fastreload,700,3
7,0,sniper_fastsemi,acog,800,4
0,0,sniper_powerbolt,reddot,100,
1,0,sniper_powerbolt,swayreduc,200,0
2,0,sniper_powerbolt,ir,300,1
3,0,sniper_powerbolt,stalker,400,1
4,0,sniper_powerbolt,dualoptic,500,2
5,0,sniper_powerbolt,rf,600,2
6,0,sniper_powerbolt,fastreload,700,3
7,0,sniper_powerbolt,acog,800,4
0,0,shotgun_fullauto,reflex,100,
1,0,shotgun_fullauto,quickdraw,200,0
2,0,shotgun_fullauto,stalker,300,1
3,0,shotgun_fullauto,steadyaim,400,1
4,0,shotgun_fullauto,reddot,500,2
5,0,shotgun_fullauto,rf,600,2
6,0,shotgun_fullauto,extbarrel,700,3
7,0,shotgun_fullauto,fastreload,800,4
8,0,shotgun_fullauto,holo,900,5
0,0,shotgun_precision,reflex,100,
1,0,shotgun_precision,quickdraw,200,0
2,0,shotgun_precision,stalker,300,1
3,0,shotgun_precision,steadyaim,400,1
4,0,shotgun_precision,reddot,500,2
5,0,shotgun_precision,rf,600,2
6,0,shotgun_precision,extbarrel,700,3
7,0,shotgun_precision,fastreload,800,4
8,0,shotgun_precision,holo,900,5
1,0,shotgun_energy,quickdraw,200,0
2,0,shotgun_energy,stalker,300,1
3,0,shotgun_energy,steadyaim,400,1
4,0,shotgun_energy,reddot,500,2
5,0,shotgun_energy,rf,600,2
6,0,shotgun_energy,extbarrel,700,3
7,0,shotgun_energy,fastreload,800,4
8,0,shotgun_energy,holo,900,5
0,0,shotgun_pump,reflex,100,
1,0,shotgun_pump,quickdraw,200,0
2,0,shotgun_pump,stalker,300,1
3,0,shotgun_pump,steadyaim,400,1
4,0,shotgun_pump,reddot,500,2
5,0,shotgun_pump,rf,600,2
6,0,shotgun_pump,extbarrel,700,3
7,0,shotgun_pump,fastreload,800,4
8,0,shotgun_pump,holo,900,5
0,0,shotgun_semiauto,reflex,100,
1,0,shotgun_semiauto,quickdraw,200,0
2,0,shotgun_semiauto,stalker,300,1
3,0,shotgun_semiauto,steadyaim,400,1
4,0,shotgun_semiauto,reddot,500,2
5,0,shotgun_semiauto,rf,600,2
6,0,shotgun_semiauto,extbarrel,700,3
7,0,shotgun_semiauto,fastreload,800,4
8,0,shotgun_semiauto,holo,900,5
0,0,launcher_standard,,100,
1,0,launcher_standard,,200,
2,0,launcher_standard,,300,
3,0,launcher_standard,,400,
4,0,launcher_standard,,500,
5,0,launcher_standard,,600,
6,0,launcher_standard,,700,
7,0,launcher_standard,,800,
8,0,launcher_standard,,900,
9,0,launcher_standard,,1000,
0,0,bowie_knife,,100,
1,0,bowie_knife,,200,
2,0,bowie_knife,,300,
3,0,bowie_knife,,400,
4,0,bowie_knife,,500,
5,0,bowie_knife,,600,
6,0,bowie_knife,,700,
7,0,bowie_knife,,800,
8,0,bowie_knife,,900,
9,0,bowie_knife,,1000,
