index,type,name,resident,streamed,parentStack
166,localize,TF_BOXSHARE_DESC,102,0,||assetlist
167,localize,TF_KILL_BONUS,36,0,||assetlist
168,localize,TF_KILL_BONUS_DESC,57,0,||assetlist
169,localize,TF_MELEE_BONUS,43,0,||assetlist
170,localize,TF_MELEE_BONUS_DESC,67,0,||assetlist
171,localize,TF_HEADSHOT_BONUS,49,0,||assetlist
172,localize,TF_HEADSHOT_BONUS_DESC,74,0,||assetlist
173,localize,TF_MAX_ZOMBIES,35,0,||assetlist
174,localize,TF_MAX_ZOMBIES_DESC,173,0,||assetlist
175,localize,TF_WEAKER_ZOMBIES,33,0,||assetlist
176,localize,TF_WEAKER_ZOMBIES_DESC,59,0,||assetlist
177,localize,TF_ZOMBS_ALWAYS_SPRINT,45,0,||assetlist
178,localize,TF_ZOMBS_ALWAYS_SPRINT_DESC,73,0,||assetlist
179,localize,TF_NO_DELAY,34,0,||assetlist
180,localize,TF_NO_DELAY_DESC,87,0,||assetlist
181,localize,TF_BGB_LIMIT,38,0,||assetlist
182,localize,TF_BGB_LIMIT_DESC,96,0,||assetlist
183,localize,TF_FRIENDLYFIRE_DESC,256,0,||assetlist
184,localize,TF_KNOCK_BACK,25,0,||assetlist
185,localize,TF_NON_LETHAL,25,0,||assetlist
186,localize,TF_TDOLL_ZOMBIE,31,0,||assetlist
187,localize,TF_TDOLL_ZOMBIE_DESC,95,0,||assetlist
188,localize,TF_TDOLL,17,0,||assetlist
189,localize,TF_SF,15,0,||assetlist
190,localize,TF_TDOLL_AND_SF,31,0,||assetlist
191,localize,TF_BGB_OFF,29,0,||assetlist
192,localize,TF_BGB_OFF_DESC,59,0,||assetlist
193,localize,TF_ENABLED,26,0,||assetlist
194,localize,TF_ENABLED_DESC,99,0,||assetlist
195,localize,TF_CW_SCOREEVENT,30,0,||assetlist
196,localize,TF_CW_SCOREEVENT_DESC,99,0,||assetlist
197,localize,TF_THIRDPERSON,37,0,||assetlist
198,localize,TF_THIRDPERSON_DESC,174,0,||assetlist
199,localize,TF_ZOMBIE_HEALTHBAR,38,0,||assetlist
200,localize,TF_ZOMBIE_HEALTHBAR_DESC,62,0,||assetlist
201,localize,TF_HUD,21,0,||assetlist
202,localize,TF_HUD_DESC,44,0,||assetlist
203,localize,TF_HITMARKERS_SOUND,36,0,||assetlist
204,localize,TF_HITMARKERS_SOUND_DESC,64,0,||assetlist
205,localize,TF_MENU_PLAYER_OPTIONS,38,0,||assetlist
206,localize,TF_MENU_PLAYER_OPTIONS_DESC,58,0,||assetlist
207,localize,TF_MENU_GAME_OPTIONS,34,0,||assetlist
208,localize,TF_MENU_GAME_OPTIONS_DESC,54,0,||assetlist
209,localize,TF_MENU_BOT_OPTIONS,32,0,||assetlist
210,localize,TF_MENU_BOT_OPTIONS_DESC,52,0,||assetlist
211,localize,TF_MENU_WEAPON_OPTIONS,38,0,||assetlist
212,localize,TF_MENU_WEAPON_OPTIONS_DESC,58,0,||assetlist
213,localize,TF_MENU_POWERUP_OPTIONS,40,0,||assetlist
214,localize,TF_MENU_POWERUP_OPTIONS_DESC,60,0,||assetlist
215,localize,TF_MENU_ZOMBIE_OPTIONS,38,0,||assetlist
216,localize,TF_MENU_ZOMBIE_OPTIONS_DESC,58,0,||assetlist
217,localize,TF_MENU_PERK_OPTIONS,34,0,||assetlist
218,localize,TF_MENU_PERK_OPTIONS_DESC,54,0,||assetlist
219,localize,TF_MENU_BGB_OPTIONS,38,0,||assetlist
220,localize,TF_MENU_BGB_OPTIONS_DESC,58,0,||assetlist
221,localize,TF_MENU_ROAMER_OPTIONS,38,0,||assetlist
222,localize,TF_MENU_ROAMER_OPTIONS_DESC,58,0,||assetlist
223,localize,TF_MENU_SERVER_OPTIONS,44,0,||assetlist
224,localize,TF_MENU_SERVER_OPTIONS_DESC,59,0,||assetlist
225,localize,TF_MENU_INGAME_NOTE,183,0,||assetlist
226,localize,MENU_GFL,26,0,||assetlist
227,keyvaluepairs,en_core_mod,1094,0,||assetlist
228,assetlist,,3616,0,
